label,value,description
"Construction of new coastal structures, or the expansion of existing coastal structures, movement of earth material (dredging, excavation, filling, dredge spoil placement dune building, beach nourishment, grading, clearing, removing/vegetation","EAR_MAT",""
"Re-construction or maintenance of existing coastal structures. Other bottom structures.","OTHER_BO",""
"None","none",""
